"","date1","date2","Prc","date_diff"
"159",2014-10-06,2014-10-30,0.0641025641025641,24
"160",2014-10-07,2014-10-08,0.0229885057471264,1
"161",2014-10-07,2014-10-09,0.0229885057471264,2
"162",2014-10-07,2014-10-10,0.0229885057471264,3
"163",2014-10-07,2014-10-11,0.0574712643678161,4
"164",2014-10-07,2014-10-12,0.0229885057471264,5
"165",2014-10-07,2014-10-13,0.0229885057471264,6
"166",2014-10-07,2014-10-14,0.0229885057471264,7
"167",2014-10-07,2014-10-15,0.0574712643678161,8
"168",2014-10-07,2014-10-16,0.0114942528735632,9
"169",2014-10-07,2014-10-17,0.0919540229885057,10
"170",2014-10-07,2014-10-18,0.0459770114942529,11
"171",2014-10-07,2014-10-19,0.103448275862069,12
"172",2014-10-07,2014-10-20,0.0229885057471264,13
"173",2014-10-07,2014-10-21,0.0114942528735632,14
"174",2014-10-07,2014-10-22,0.0229885057471264,15
"175",2014-10-07,2014-10-23,0.0114942528735632,16
"176",2014-10-07,2014-10-24,0.0114942528735632,17
"177",2014-10-07,2014-10-25,0.0229885057471264,18
"178",2014-10-07,2014-10-26,0.0459770114942529,19
"179",2014-10-07,2014-10-27,0.0574712643678161,20
"180",2014-10-07,2014-10-28,0.0344827586206897,21
"181",2014-10-07,2014-10-29,0.0114942528735632,22
"182",2014-10-07,2014-10-30,0.0689655172413793,23
"183",2014-10-08,2014-10-09,0.0227272727272727,1
"184",2014-10-08,2014-10-10,0.0227272727272727,2
"185",2014-10-08,2014-10-11,0.0340909090909091,3
"186",2014-10-08,2014-10-12,0.0340909090909091,4
"187",2014-10-08,2014-10-13,0.0340909090909091,5
"188",2014-10-08,2014-10-14,0.0454545454545455,6
"189",2014-10-08,2014-10-15,0.0227272727272727,7
"190",2014-10-08,2014-10-16,0.0340909090909091,8
"191",2014-10-08,2014-10-17,0.0113636363636364,9
"192",2014-10-08,2014-10-18,0.0227272727272727,10
"193",2014-10-08,2014-10-19,0.0227272727272727,11
"194",2014-10-08,2014-10-20,0.0340909090909091,12
"195",2014-10-08,2014-10-21,0.0227272727272727,13
"196",2014-10-08,2014-10-22,0.0227272727272727,14
"197",2014-10-08,2014-10-23,0.0340909090909091,15
"198",2014-10-08,2014-10-24,0.0227272727272727,16
"199",2014-10-08,2014-10-25,0.0227272727272727,17
"200",2014-10-08,2014-10-26,0.0113636363636364,18
"201",2014-10-08,2014-10-27,0.0227272727272727,19
"202",2014-10-08,2014-10-28,0.0681818181818182,20
"203",2014-10-08,2014-10-29,0.0227272727272727,21
"204",2014-10-08,2014-10-30,0.0227272727272727,22
"205",2014-10-09,2014-10-10,0.0120481927710843,1
"206",2014-10-09,2014-10-11,0.036144578313253,2
"207",2014-10-09,2014-10-12,0.036144578313253,3
"208",2014-10-09,2014-10-13,0.0240963855421687,4
"209",2014-10-09,2014-10-14,0.0240963855421687,5
"210",2014-10-09,2014-10-15,0.036144578313253,6
"211",2014-10-09,2014-10-16,0.0240963855421687,7
"212",2014-10-09,2014-10-17,0.0240963855421687,8
"213",2014-10-09,2014-10-18,0.036144578313253,9
"214",2014-10-09,2014-10-19,0.036144578313253,10
"215",2014-10-09,2014-10-20,0.036144578313253,11
"216",2014-10-09,2014-10-21,0.0120481927710843,12
"217",2014-10-09,2014-10-22,0.0602409638554217,13
"218",2014-10-09,2014-10-23,0.0240963855421687,14
"219",2014-10-09,2014-10-24,0.072289156626506,15
"220",2014-10-09,2014-10-25,0.036144578313253,16
"221",2014-10-09,2014-10-26,0.0602409638554217,17
"222",2014-10-09,2014-10-27,0.0120481927710843,18
"223",2014-10-09,2014-10-28,0.0240963855421687,19
"224",2014-10-09,2014-10-29,0.0240963855421687,20
"225",2014-10-09,2014-10-30,0.0120481927710843,21
"226",2014-10-10,2014-10-11,0.0194174757281553,1
"227",2014-10-10,2014-10-12,0.029126213592233,2
"228",2014-10-10,2014-10-13,0.0388349514563107,3
"229",2014-10-10,2014-10-14,0.0485436893203883,4
"230",2014-10-10,2014-10-15,0.058252427184466,5
"231",2014-10-10,2014-10-16,0.0194174757281553,6
"232",2014-10-10,2014-10-17,0.0388349514563107,7
"233",2014-10-10,2014-10-18,0.0388349514563107,8
"234",2014-10-10,2014-10-19,0.0388349514563107,9
"235",2014-10-10,2014-10-20,0.029126213592233,10
"236",2014-10-10,2014-10-21,0.0194174757281553,11
"237",2014-10-10,2014-10-22,0.029126213592233,12
"238",2014-10-10,2014-10-23,0,13
"239",2014-10-10,2014-10-24,0.0388349514563107,14
"240",2014-10-10,2014-10-25,0.0388349514563107,15
"241",2014-10-10,2014-10-26,0.029126213592233,16
"242",2014-10-10,2014-10-27,0,17
"243",2014-10-10,2014-10-28,0.029126213592233,18
"244",2014-10-10,2014-10-29,0.00970873786407767,19
"245",2014-10-10,2014-10-30,0,20
"246",2014-10-11,2014-10-12,0.0526315789473684,1
"247",2014-10-11,2014-10-13,0.0315789473684211,2
"248",2014-10-11,2014-10-14,0.0421052631578947,3
"249",2014-10-11,2014-10-15,0.0210526315789474,4
"250",2014-10-11,2014-10-16,0.0105263157894737,5
"251",2014-10-11,2014-10-17,0.0315789473684211,6
"252",2014-10-11,2014-10-18,0.0421052631578947,7
"253",2014-10-11,2014-10-19,0.0631578947368421,8
"254",2014-10-11,2014-10-20,0.0210526315789474,9
"255",2014-10-11,2014-10-21,0.0105263157894737,10
"256",2014-10-11,2014-10-22,0.0105263157894737,11
"257",2014-10-11,2014-10-23,0.0210526315789474,12
"258",2014-10-11,2014-10-24,0.0105263157894737,13
"259",2014-10-11,2014-10-25,0.0210526315789474,14
"260",2014-10-11,2014-10-26,0.0421052631578947,15
"261",2014-10-11,2014-10-27,0.0105263157894737,16
"262",2014-10-11,2014-10-28,0.0421052631578947,17
"263",2014-10-11,2014-10-29,0,18
"264",2014-10-11,2014-10-30,0.0105263157894737,19
"265",2014-10-12,2014-10-13,0.0272727272727273,1
"266",2014-10-12,2014-10-14,0.00909090909090909,2
"267",2014-10-12,2014-10-15,0.0181818181818182,3
"268",2014-10-12,2014-10-16,0.0181818181818182,4
"269",2014-10-12,2014-10-17,0.0272727272727273,5
"270",2014-10-12,2014-10-18,0.0181818181818182,6
"271",2014-10-12,2014-10-19,0.0636363636363636,7
"272",2014-10-12,2014-10-20,0.0181818181818182,8
"273",2014-10-12,2014-10-21,0.0272727272727273,9
"274",2014-10-12,2014-10-22,0.00909090909090909,10
"275",2014-10-12,2014-10-23,0.0363636363636364,11
"276",2014-10-12,2014-10-24,0.0363636363636364,12
"277",2014-10-12,2014-10-25,0.0181818181818182,13
"278",2014-10-12,2014-10-26,0.0636363636363636,14
"279",2014-10-12,2014-10-27,0.0454545454545455,15
"280",2014-10-12,2014-10-28,0.0363636363636364,16
"281",2014-10-12,2014-10-29,0.0272727272727273,17
"282",2014-10-12,2014-10-30,0.00909090909090909,18
"283",2014-10-13,2014-10-14,0.028169014084507,1
"284",2014-10-13,2014-10-15,0.0140845070422535,2
"285",2014-10-13,2014-10-16,0.028169014084507,3
"286",2014-10-13,2014-10-17,0,4
"287",2014-10-13,2014-10-18,0.0140845070422535,5
"288",2014-10-13,2014-10-19,0.0422535211267606,6
"289",2014-10-13,2014-10-20,0,7
"290",2014-10-13,2014-10-21,0.0140845070422535,8
"291",2014-10-13,2014-10-22,0.028169014084507,9
"292",2014-10-13,2014-10-23,0.028169014084507,10
"293",2014-10-13,2014-10-24,0.0140845070422535,11
"294",2014-10-13,2014-10-25,0.0140845070422535,12
"295",2014-10-13,2014-10-26,0.0422535211267606,13
"296",2014-10-13,2014-10-27,0.028169014084507,14
"297",2014-10-13,2014-10-28,0.0140845070422535,15
"298",2014-10-13,2014-10-29,0.0563380281690141,16
"299",2014-10-13,2014-10-30,0.0704225352112676,17
"300",2014-10-14,2014-10-15,0.0422535211267606,1
"301",2014-10-14,2014-10-16,0.0563380281690141,2
